user,artist,plays
user_0001,Adele,71
user_0001,Ed Sheeran,32
user_0001,Dua Lipa,104
user_0001,Ariana Grande,65
user_0001,Katy Perry,70
user_0001,Justin Bieber,57
user_0001,Bruno Mars,38
user_0001,Taylor Swift,113
user_0001,Arijit Singh,34
user_0001,Sonu Nigam,14
user_0001,A.R. Rahman,27
user_0001,Shreya Ghoshal,10
user_0001,Sunidhi Chauhan,32
user_0002,Martin Garrix,35
user_0002,David Guetta,95
user_0002,Marshmello,88
user_0002,Zedd,113
user_0002,Kygo,95
user_0002,Alan Walker,57
user_0002,Avicii,117
user_0002,Nicki Minaj,22
user_0002,Drake,16
user_0002,Eminem,13
user_0002,Kendrick Lamar,25
user_0003,Marshmello,49
user_0003,Zedd,44
user_0003,Alan Walker,88
user_0003,Calvin Harris,84
user_0003,David Guetta,34
user_0003,Avicii,104
user_0003,Martin Garrix,40
user_0003,Kygo,101
user_0004,Ed Sheeran,87
user_0004,Dua Lipa,86
user_0004,Katy Perry,67
user_0004,Adele,106
user_0004,Justin Bieber,77
user_0004,Taylor Swift,27
user_0004,Bruno Mars,97
user_0004,Ariana Grande,78
user_0004,Avicii,17
user_0004,Calvin Harris,20
user_0004,Martin Garrix,40
user_0005,Coldplay,63
user_0005,Foo Fighters,86
user_0005,Linkin Park,32
user_0005,OneRepublic,76
user_0005,The Killers,71
user_0005,Imagine Dragons,99
user_0005,Shreya Ghoshal,8
user_0005,Pritam,32
user_0005,A.R. Rahman,31
user_0005,Sonu Nigam,30
user_0006,A.R. Rahman,83
user_0006,Sonu Nigam,81
user_0006,Pritam,56
user_0006,Sunidhi Chauhan,116
user_0006,Shreya Ghoshal,28
user_0006,Arijit Singh,54
user_0006,Badshah,31
user_0006,Neha Kakkar,54
user_0007,J. Cole,28
user_0007,Drake,29
user_0007,Travis Scott,65
user_0007,Cardi B,111
user_0007,Post Malone,32
user_0007,Nicki Minaj,66
user_0007,Kendrick Lamar,91
user_0007,The Killers,28
user_0007,Imagine Dragons,20
user_0007,Linkin Park,16
user_0007,OneRepublic,27
user_0007,Maroon 5,10
user_0008,Sonu Nigam,86
user_0008,Arijit Singh,34
user_0008,Pritam,88
user_0008,A.R. Rahman,30
user_0008,Badshah,37
user_0008,Shreya Ghoshal,79
user_0008,The Killers,39
user_0008,Linkin Park,20
user_0008,OneRepublic,22
user_0008,Maroon 5,21
user_0008,Green Day,33
user_0009,Adele,46
user_0009,Dua Lipa,116
user_0009,Ed Sheeran,53
user_0009,Katy Perry,75
user_0009,Bruno Mars,72
user_0009,Taylor Swift,105
user_0009,Pritam,16
user_0009,Arijit Singh,8
user_0009,Badshah,28
user_0009,Sonu Nigam,29
user_0010,Katy Perry,43
user_0010,Adele,43
user_0010,Ariana Grande,23
user_0010,Bruno Mars,34
user_0010,Taylor Swift,76
user_0010,Dua Lipa,75
user_0011,Imagine Dragons,38
user_0011,The Killers,36
user_0011,OneRepublic,73
user_0011,Maroon 5,24
user_0011,Foo Fighters,50
user_0011,Linkin Park,63
user_0011,Green Day,117
user_0012,J. Cole,53
user_0012,Eminem,86
user_0012,Kendrick Lamar,61
user_0012,Travis Scott,57
user_0012,Post Malone,109
user_0012,Drake,29
user_0012,The Killers,9
user_0012,Foo Fighters,7
user_0012,Coldplay,34
user_0013,Drake,98
user_0013,Travis Scott,52
user_0013,Nicki Minaj,118
user_0013,Eminem,70
user_0013,J. Cole,70
user_0013,Kendrick Lamar,63
user_0013,Adele,39
user_0013,Katy Perry,9
user_0013,Ed Sheeran,15
user_0014,Shreya Ghoshal,32
